크레딧명,인명,배역,기타,인명DB연계정보,KMDb 영화정보관리번호
출연,주예리,가영,,,K32408
출연,이준민,준민,,,K32408
출연,강민주,다솜,,,K32408
출연,김경환,경환,,,K32408
촬영팀,심승준,,,,K32412
촬영,박성은,,,,K32412
사운드(음향),김수빈,,,,K32412
촬영팀,이서현,,,,K32412
조명,박희연,,,,K32412
조명팀,김태리,,,,K32412
조명팀,정다예,,,,K32412
사운드(음향),김가현,,,217098,K32412
각본,강다연,,,219411,K26858
출연,신찬일,독립군,,6840,K02001
출연,윤일주,독립군,,491,K02001
조명팀,김정구,,,176243,K21823
편집팀,김필용,가편집,,,K22831
출연,김광일,독립군,,237,K02001
출연,박광진,마적,,707,K02001
마케팅(홍보),손희준,영화마케팅,JOON,,K22831
투자자,이성열,제작투자,,,K22831
프로듀서,김경택,,,,K22831
조명팀,신재윤,,,214541,K21823
조명팀,김현철,발전차,무적발전기,131207,K21823
편집,황금희,,,,K22831
사운드(음향),김진호,믹싱,필녹음실,,K22831
조명팀,이재건,,,165604,K21823
각본,한승엽,,,218590,K23026
각색,최상훈,,,179371,K23026
각색,정성렬,,,214535,K23026
기획,김경옥,,,,K28518
각본,박동기,,,222366,K28518
프로듀서,최윤화,총괄 프로듀서,,,K28518
촬영,김힘찬,,,210436,K21787
각본,심민희,,,189488,K20355
제작자,김준겸,,,194451,K20355
편집,정지윤,,,182583,K20355
촬영,오희원,,,176199,K20511
음악,이태원,,,182570,A09419
프로듀서,김민경,,,170691,A09419
감독,표승우,,,,K32774
감독,한수민,,,,K32783
감독,유세훈,,,,K32784
기획,백지희,,,,A09736
출연,임지형,민수,,205099,K21595
출연,김한나,지민,,205152,K21595
편집,임승현,,,206640,K22616
촬영,정종헌,,,163109,K22616
각본,박균이,,,,K21240
제작자,박종범,,,,K21240
제작자,홍유찬,,,,K21240
기획,박종범,,,,K21240
기획,홍유찬,,,,K21240
감독,송운,,,,K24606
동시녹음,김완동,,,8425,K21240
조감독,윤성원,,,,K21240
스크립터,송다영,,,,K21240
색보정,최희영,,,45313,K21240
사운드(음향),김영호,,,40682,K21240
미술,최소라,,,26454,K21240
현장편집,이일희,,,,K21240
조명,서충근,,,185667,K21240
사운드(음향),손용익,사운드,,,K21595
사운드(음향),고은하,사운드,,,K21595
출연,손성민,일곤,,,K21595
출연,함지원,여감독,,,K21595
각색,김원봉,,,210301,K21595
원작,김여정,원안,,16079,K21595
연출부,구혜민,,,,K21595
연출부,김경윤,,,209092,K21595
연출부,허제민,,,,K21595
연출부,이재승,,,,K21595
연출부,박준호,,,,K21595
프로듀서,김란란,,,,K30629
감독,한소범,,,,K30631
각본,한소범,,,,K30631
스틸,박가혜,,,,A09742
조명,박정은,,,,K30629
동시녹음,최봉란,,,,A09742
분장,Peng fei,,,,A09742
촬영,이용준,,,,K30629
제작자,박루슬란,,,131036,K23117
촬영,김형준,,,132587,K23117
감독,박루슬란,,,131036,K23117
각본,박루슬란,,,131036,K23117
출연,전종완,,,,A08437
음악,김희범,,,178677,A08437
감독,이영준,,,,K31182
각본,심기주,,,,K31181
촬영,심기주,,,,K31181
감독,구동희,,,222604,A11777
프로듀서,윤기범,,,,K31182
프로듀서,윤예진,,,,K31182
제작자,이승민,,,,K31181
출연,이예찬,,,,K31181
출연,이승민,,,,K31181
출연,조원빈,,,,K31181
출연,이윤서,,,,K31181
출연,김은혜,,,,K31181
출연,심기주,,,,K31181
분장,이루리,,,,K31182
감독,전시은,,,,K30634
각본,전시은,,,,K30634
감독,리폰,,,,A11509
감독,슈먼,,,,A11510
사운드(음향),공태원,사운드슈퍼바이저,PLUS GAIN,35485,K26824
색보정,백성빈,,프레임 포스트,158562,K26824
감독,민병우,,,178823,A09651
감독,이재수,,,21918,K22695
출연,장동휘,동혁,,855,K02001
출연,박노식,요시다,,747,K02001
출연,김희라,혼도,,4474,K02001
출연,유미,연화,,25169,K02001
출연,김성옥,나카무라,,5373,K02001
출연,문오장,사사끼,,6324,K02001
출연,최무웅,통신병,,5265,K02001
출연,황백,다나까,,6390,K02001
출연,강민호,청년,,157236,K02001
출연,김세라,사진사,,4588,K02001
출연,임생출,동혁 부,,5213,K02001
출연,유하나,동혁부인,,6369,K02001
출연,라정옥,동혁 모,,4854,K02001
출연,권오상,야마모도,,6037,K02001
출연,최창호,오하라,,5240,K02001
출연,박예숙,다나까의 여인,,659,K02001
출연,조춘,미야모도,,1010,K02001
출연,양일민,모리,,925,K02001
출연,박기택,다까하시,,470,K02001
출연,이일웅,노무라,,977,K02001
출연,최재호,미부네,,7867,K02001
출연,김대현,일본인 국경수비대,,134,K02001
출연,나일,일본인 국경수비대,,7153,K02001
출연,주상호,일본인 국경수비대,,5383,K02001
출연,전숙,마담,,110,K02001
출연,이승현,거지소년,아역,4097,K02001
출연,조덕성,유희섭,,5222,K02001
출연,임해림,독립군 갑,,841,K02001
출연,최일,독립군,,4966,K02001
연출부,이새보미야,나레이션각색,,,A08437
조감독,권소운,,,,A08437
촬영팀,김종원,보조촬영,,,A08437
촬영팀,방병호,보조촬영,,,A08437
촬영팀,이민엽,보조촬영,,221721,A08437
촬영팀,홍만석,보조촬영,,,A08437
촬영팀,홍석원,보조촬영,,213547,A08437
출연,RM,본인,,215227,A09059
출연,진,본인,,215228,A09059
출연,슈가,본인,,215229,A09059
출연,제이홉,본인,,215230,A09059
각본,김성환,구성,,1223,A08437
각본,박주환,구성,,206544,A08437
출연,이승현,,,,A08437
출연,박주환,,,206544,A08437
출연,윤명식,,,,A08437
감독,이성강,,,17592,K20897
감독,최상진,,,206591,A09787
출연,지민,본인,,215231,A09059
출연,뷔,본인,,215232,A09059
출연,정국,본인,,215233,A09059
음악,장재호,,,51461,A04015
음악,이윤경,,,,A04015
동시녹음,강봉성,,,7952,A04015
세트,김덕두,,,172937,K21682
세트,김성준,,,215886,K21682
음악,서형주,,,,K22837
감독,서은영,,,194461,K22837
색보정팀,이혜민,Associate Colorist,CJ Powercast,44511,K23047
색보정팀,최진숙,Associate Colorist,CJ Powercast,170892,K23047
색보정팀,현상필,Executive Producer,CJ Powercast,177484,K23047
색보정팀,고승태,Team Manager,CJ Powercast,221398,K23047
색보정팀,김승원,Digital Colorist,CJ Powercast,44515,K23047
색보정팀,안진우,Color Assistant,CJ Powercast,211333,K23047
색보정팀,장동원,Color Assistant,CJ Powercast,213554,K23047
색보정팀,최인선,Digital Cinema,CJ Powercast,163159,K23047
색보정팀,지연주,Digital Cinema,CJ Powercast,196831,K23047
색보정팀,소지호,Associate Colorist,CJ Powercast,161930,K23047
사운드팀,소나기사운드웍스,Post-Production Sound,,,K22987
사운드팀,박주강,Sound Supervisor,,8753,K22987
사운드팀,안효진,Dialogue,,214183,K22987
사운드팀,이정호,Sound Effects,,163209,K22987
음악,김준,사운드믹싱,,217668,K17369
연출부,정성진,,,,A09829
연출부,장윤미,,,,A09829
미술,김강민,,,,K29590
각본,이주승,,,50251,K29589
동시녹음,류하은,,,,K29589
시각효과,최진호,CG,,166527,K29589
출연,배정화,,,83500,K29589
출연,이수하,,,,K29589
출연,허정희,,,221636,K29589
출연,김호중,Artist,,,A09939
출연,홍록기,,,,A09939
출연,조항조,,,,A09939
출연,김원효,,,,A09939
출연,김소유,,,,A09939
출연,영기,,,,A09939
출연,안성훈,,,,A09939
출연,소연,,,,A09939
출연,윤서령,,,,A09939
출연,ARISS,,,,A09939
기타스탭,황보미애,투자관리 진행,롯데엔터테인먼트,163852,K17515
기타스탭,이민영,투자관리 진행,롯데엔터테인먼트,208565,K17515
기타스탭,정예선,투자관리 진행,롯데엔터테인먼트,211907,K17515
기타스탭,최효선,투자관리 진행,롯데엔터테인먼트,215972,K17515
기타스탭,최정환,해외배급 책임,롯데엔터테인먼트,172338,K17515
기타스탭,김태영,해외배급 진행,롯데엔터테인먼트,207784,K17515
기타스탭,엄준식,해외배급 진행,롯데엔터테인먼트,163849,K17515
기타스탭,서희원,해외배급 진행,롯데엔터테인먼트,208567,K17515
기타스탭,김수연,해외배급 진행,롯데엔터테인먼트,212049,K17515
기타스탭,이지수,해외배급 지원,롯데엔터테인먼트,212047,K17515
기타스탭,김다희,해외배급 지원,롯데엔터테인먼트,206011,K17515
기타스탭,이상준,해외배급 지원,롯데엔터테인먼트,147316,K17515
기타스탭,김지연,해외배급 지원,롯데엔터테인먼트,11540,K17515
기타스탭,이선복,분장버스,씨네반디,169491,K17515
기타스탭,김상필,분장버스,필 Cine,,K17515
기타스탭,스토리무비,보조출연업체,,,K17515
기타스탭,이동민,보조출연실장,,,K17515
기타스탭,백상현,캐스팅 지원,,211798,K17515
기타스탭,최훈민,캐스팅 지원,,206077,K17515
기타스탭,송기오,캐스팅 지원,,173714,K17515
기타스탭,한재환,소품차량,씨네프롭스,196442,K17515
기타스탭,이종영,소품차량,씨네프롭스,212739,K17515
기타스탭,장주홍,소품차량,씨네프롭스,,K17515
기타스탭,박동석,제작탑차,불만제로프로덕션서비스,,K17515
기타스탭,이상영,제작탑차,불만제로프로덕션서비스,,K17515
기타스탭,김태영,로케이션매니저,로케이션 프럴스,,K17515
기타스탭,이용국,로케이션매니저,로케이션 프럴스,,K17515
기타스탭,차맹회,케이터링,재바우,,K17515
기타스탭,엄광애,케이터링,재바우,,K17515
기타스탭,장영재,보험,㈜롯데손해보험,,K17515
마케팅/홍보팀,성민정,마케팅홍보,1st Look(KFMA),212029,K17515
마케팅/홍보팀,최한울,마케팅홍보,1st Look(KFMA),216492,K17515
마케팅/홍보팀,김태은,마케팅홍보,1st Look(KFMA),185003,K17515
마케팅/홍보팀,김희준,마케팅홍보,1st Look(KFMA),201769,K17515
무술팀,심상민,무술지도,,191922,K17515
마케팅/홍보팀,신수경,온라인마케팅,지니스커뮤니케이션,166774,K17515
마케팅/홍보팀,정지현,온라인마케팅,지니스커뮤니케이션,218977,K17515
마케팅/홍보팀,서민지,온라인마케팅,지니스커뮤니케이션,188494,K17515
마케팅/홍보팀,임주현,온라인마케팅,지니스커뮤니케이션,201502,K17515
마케팅/홍보팀,김맑아,온라인마케팅,지니스커뮤니케이션,202553,K17515
마케팅/홍보팀,류효민,온라인마케팅,지니스커뮤니케이션,204500,K17515
마케팅/홍보팀,정은희,온라인마케팅,지니스커뮤니케이션,,K17515
마케팅/홍보팀,최지연,온라인광고디자인,지니스커뮤니케이션,136303,K17515
무술팀,이광호,무술지도,,205164,K17515
무술팀,김승필,무술지도,,166498,K17515
무술팀,이동민,,,45937,K17515
무술팀,최재옥,,,205103,K17515
무술팀,정성호,,,16203,K17515
무술팀,조아라,,,186857,K17515
무술팀,임태훈,,,189020,K17515
무술팀,김지혜,,,194439,K17515
무술팀,김용호,,,12288,K17515
무술팀,정택호,,,185366,K17515
무술팀,홍의정,,,42839,K17515
무술팀,한지빈,,,188195,K17515
무술팀,서정주,,,45900,K17515
무술팀,최광락,,,41977,K17515
무술팀,이학력,,,216490,K17515
마케팅/홍보팀,이윤정,마케팅홍보,1st Look(KFMA),32094,K17515
마케팅/홍보팀,강효미,마케팅홍보,1st Look(KFMA),163049,K17515
마케팅/홍보팀,신보영,마케팅홍보,1st Look(KFMA),163050,K17515
마케팅/홍보팀,최선호,마케팅홍보,1st Look(KFMA),199424,K17515
마케팅/홍보팀,임지은,마케팅홍보,1st Look(KFMA),197235,K17515
무술감독,류관영,,,,K22831
무술감독,권승구,,,22543,K22831
각본,박현주,,,,K31572
각색,김건우,,,,K30302
각색,문현성,,,44538,K30302
각색,유형석,,,21351,K30302
의상,김정은,,,11772,K21338
감독,강경태,,,50307,A11991
출연,박재욱,본인(제이크),,,A10144
출연,한지현,본인(멜로니),,,A10144
출연,김기년,본인(라이언),,,A10144
출연,이정행,본인(제임스),,,A10144
출연,한서진,본인(섬머),,,A10144
출연,김소진,본인(솔트),,,A10144
출연,김한샘,본인(샘),,,A10144
출연,김영범,본인(영붐),,,A10144
출연,김남현,본인(네이트),,,A10144
출연,유글렌,본인(글렌),,,A10144
출연,김정웅,본인(딜런),,,A10144
출연,고보경,본인(엘리),,,A10144
출연,박수빈,본인(마우브),,,A10144
출연,남현수,본인(타우),,,A10144
출연,김성주,본인(세이지),,,A10144
출연,채이배,,,,A10144
출연,구태언,,,,A10144
출연,장병규,,,,A10144
출연,이철희,,,,A10144
출연,김동신,,,,A10144
출연,강동석,,,,A10144
출연,박희은,,,,A10144
출연,김수지,,,,A10144
출연,이두희,,,,A10144
마케팅/홍보팀,선미현,온라인광고디자인,지니스커뮤니케이션,213824,K17515
감독,임권택,,,1811,K02001
각본,박남주,,,6670,K02001
마케팅/홍보팀,서주희,온라인광고디자인,지니스커뮤니케이션,213825,K17515
마케팅/홍보팀,박재호,광고디자인,피그말리온,166792,K17515
마케팅/홍보팀,이유희,광고디자인,피그말리온,168510,K17515
마케팅/홍보팀,이서연,광고디자인,피그말리온,211901,K17515
마케팅/홍보팀,홍인서,광고디자인,피그말리온,211902,K17515
제작자,서종호,,,5295,K02001
기획,이희철,,,5328,K02001
촬영,최호진,,,4698,K02001
조명,김진도,,,1313,K02001
편집,장현수,,,6692,K02001
음악,이인권,,,4498,K02001
미술,박승배,,,1259,K02001
감독,전건휘,,,,K29475
색보정팀,조희대,Technical Supervisor,Algorithm Media Lab,45531,K26394
색보정팀,조신영,DI Supervisor,Algorithm Media Lab,186118,K26394
색보정팀,김경희,Post Production Supervisor,Algorithm Media Lab,186119,K26394
색보정팀,강경원,Digital Colorist,Algorithm Media Lab,215300,K26394
색보정팀,오승노,Color Assistant,Algorithm Media Lab,219216,K26394
색보정팀,신영섭,System Engineer,Algorithm Media Lab,216860,K26394
색보정팀,김지연,Digital Image Mastering,Algorithm Media Lab,223149,K26394
색보정팀,윤수희,DCP Packaging,Algorithm Media Lab,219217,K26394
출연,김재민,,,,K29476
출연,안다솔,,,,K29476
출연,최지선,,,224425,K29476
출연,안병관,,,,K29476
출연,최지연,,,,K29476
조명,이준일,,,81114,K32557
현상,한국천연색,,,,K02001
마케팅/홍보팀,이유림,광고디자인,피그말리온,211903,K17515
마케팅/홍보팀,김의중,광고대행,대흥기획,212032,K17515
마케팅/홍보팀,문보현,광고대행,대흥기획,212034,K17515
마케팅/홍보팀,전혜정,광고대행,대흥기획,208544,K17515
마케팅/홍보팀,배우진,광고대행,대흥기획,213232,K17515
마케팅/홍보팀,유현아,인쇄,대경토탈,205931,K17515
기타스탭,Aedal Park,Make-up Artist,US CREW,,K17515
기타스탭,Lydia Yu,Hair Artist,US CREW,,K17515
기타스탭,김규중,투자/제작 진행,롯데엔터테인먼트,195630,K17515
기타스탭,최지원,투자/제작 진행,롯데엔터테인먼트,176230,K17515
기타스탭,조성철,투자/제작 지원,롯데엔터테인먼트,163843,K17515
기타스탭,변은혜,투자/제작 지원,롯데엔터테인먼트,162936,K17515
기타스탭,김진근,투자/제작 지원,롯데엔터테인먼트,212044,K17515
기타스탭,이정훈,투자/제작 지원,롯데엔터테인먼트,46160,K17515
기타스탭,이예진,투자/제작 지원,롯데엔터테인먼트,188575,K17515
기타스탭,김혜인,투자/제작 지원,롯데엔터테인먼트,77795,K17515
기타스탭,박소윤,투자/제작 지원,롯데엔터테인먼트,208557,K17515
기타스탭,전솔아,투자/제작 지원,롯데엔터테인먼트,208558,K17515
기타스탭,임아영,마케팅 책임,롯데엔터테인먼트,162934,K17515
기타스탭,임지현,마케팅 관리 진행,롯데엔터테인먼트,163845,K17515
기타스탭,박은영,마케팅 관리 진행,롯데엔터테인먼트,190106,K17515
기타스탭,양소영,마케팅 관리 진행,롯데엔터테인먼트,206772,K17515
기타스탭,이한나,마케팅 관리 지원,롯데엔터테인먼트,184516,K17515
기타스탭,정성엽,마케팅 관리 지원,롯데엔터테인먼트,81699,K17515
기타스탭,나예은,마케팅 관리 지원,롯데엔터테인먼트,208559,K17515
기타스탭,강동영,홍보 책임,롯데엔터테인먼트,208560,K17515
촬영,이재우,,,185518,K20930
기타스탭,최준식,홍보 진행,롯데엔터테인먼트,188578,K17515
의상/분장팀,조재은,의상팀장,,78382,K22585
의상/분장팀,이다연,의상팀,,14571,K22585
의상/분장팀,임지연,의상팀,,222130,K22585
의상/분장팀,구승하,컨셉 디자인,,213212,K22585
의상/분장팀,한은영,의상지원,,221227,K22585
조명,정종헌,,,163109,K22616
의상/분장팀,박현민,분장팀장,,221228,K22585
의상/분장팀,양연재,분장팀,,,K22585
의상/분장팀,이성아,분장팀,,,K22585
의상/분장팀,이수영,추가촬영 팀장,,170568,K22585
의상/분장팀,정정아,추가촬영 팀장,,,K22585
특수효과팀,박경수,특수효과실장,,39729,K22585
특수효과팀,이동호,특수효과실장,,161913,K22585
특수효과팀,김창석,특수효과실장,,50653,K22585
특수효과팀,최영웅,,,211399,K22585
특수효과팀,김태훈,,,217524,K22585
특수효과팀,최민준,,,222131,K22585
특수효과팀,안현,,,217525,K22585
감독,강유진,,,,A11050
편집,박세영,,,,K27227
감독,오주영,,,222120,K30506
감독,유명상,,,221650,K30507
투자자,민형식,제작투자,,,A09651
감독,이순례,,,222121,A11450
촬영,이민규,,,206344,K23951
투자자,이운숙,제작투자,,,A09651
투자자,민병우,제작투자,,178823,A09651
기타스탭,황운영,동물연출,이글루 동물영화연기학교,,K17515
기타스탭,최영환,노무자문,노무법인 성일,205734,K17515
기타스탭,최현,노무자문,노무법인 성일,,K17515
기타스탭,박정호,노무자문,노무법인 성일,,K17515
기타스탭,신승호,응급의료지원,대한구조봉사회 사무장,,K17515
기타스탭,장형조,해외촬영여행사,KRT여행사 대표,,K17515
기타스탭,조미라,해외촬영여행사,KRT여행사 항공법인사업부 이사,,K17515
기타스탭,김종완,안무감독,,,K17515
기타스탭,김정인,댄스지도,,,K17515
기타스탭,이소정,댄스지도,,,K17515
기타스탭,박하영,댄스지도,,,K17515
기타스탭,고유리,댄스지도,,,K17515
기타스탭,임태우,타투,리버스잉크 타투팀,,K17515
기타스탭,이민희,타투,리버스잉크 타투팀,,K17515
기타스탭,유재원,타투,리버스잉크 타투팀,216858,K17515
기타스탭,전제관,타투,리버스잉크 타투팀,,K17515
기타스탭,송엘림,시나리오 번역,,,K17515
기타스탭,샬트르 성 바오로 수녀회 서울관구,천주교 자문,,,K17515
기타스탭,한상호 그레고리오 신부님,영화 내용관련 자문,,,K17515
기타스탭,김웅렬 토마스 아퀴나스 신부님,영화 구마관련 자문,,,K17515
기타스탭,김동영,라틴어 번역 & 자문,,,K17515
기타스탭,한결,이탈리아어 번역,,,K17515
기타스탭,윤태선,지원기관,서울영상위원회 과장,173689,K17515
기타스탭,조형우,지원기관,광주영상위원회 팀장,,K17515
기타스탭,이상우,지원기관,청주영상위원회 로케이션 매니저,,K17515
기타스탭,황태웅,지원기관,인천영상위원회 촬영지원팀,204147,K17515
기타스탭,강원영상위원회 영상지원팀,지원기관,,,K17515
프로듀서,이동진,,,172022,K23110
프로듀서,김정화,,,33248,K23110
출연,노예나,,,,A12187
출연,김현호,,,,A12187
출연,임형원,,,,A12187
출연,김예리,,,,A12187
출연,정유진,,,,A12187
출연,정재훈,,,,A12187
세트,이재교,,,,K28908
출연,류기산,,,205716,K33051
출연,박세정,,,206677,K33051
출연,박치선,,,,K33051
출연,김미영,,,,K33051
출연,김경정,,,,K33051
원작,이승욱,,,207100,K33051
감독,민채연,,,217780,K24532
조명팀,정다예,,,,K32411
사운드(음향),문시윤,,,,K32411
사운드(음향),김수빈,,,,K32411
제작자,김민서,,,,K32411
조명,박성은,,,,K32411
조명팀,김태리,,,,K32411
사운드팀,김대섭,붐 오퍼레이터,,,K28650
사운드팀,허유라,Sound Designer/Post Production Manager,KINOPOST,179865,K28650
사운드팀,송인혜,ADR Recorder/Ambience Editor/Rerecording Assistant,KINOPOST,222453,K28650
사운드팀,이기준,Dialogue Editor/Music Operator/Rerecording Mixer,KINOPOST,174730,K28650
사운드팀,유동연,Sound Effect/Foley,KINOPOST,222676,K28650
사운드팀,이현명,Sound Effect/Foley,KINOPOST,221271,K28650
사운드팀,김지수,Rerecording Assistant,KINOPOST,,K28650
사운드팀,양재 Dolby 7.1.2 Room,Final Mix Stage Kinopost,KINOPOST,,K28650
연출부,오세호,,,213638,K28827
연출부,김대한,,,217234,K28827
연출부,이승섭,,,,K28827
감독,김원봉,,,210301,K21595
촬영,송강석,,,212597,K21595
촬영,김민재,,,,K21595
감독,김시우,,,217601,K23371
분장,손은주,분장/미용,,16841,K17515
촬영,조상윤,,C.G.K,26097,K17515
동시녹음,이순성,,K.P.A,42141,K17515
음악,박신애,,,,K22890
기타스탭,최연정,홍보 진행,롯데엔터테인먼트,162935,K17515
조명,이수남,,,162554,K22890
기타스탭,송하길,홍보 진행,롯데엔터테인먼트,208562,K17515
기타스탭,유혜인,홍보 진행,롯데엔터테인먼트,208563,K17515
기타스탭,김기범,홍보 진행,롯데엔터테인먼트,206870,K17515
기타스탭,우승완,홍보 진행,롯데엔터테인먼트,215975,K17515
기타스탭,송승록,배급/부가판권/투자관리 책임,롯데엔터테인먼트,188576,K17515
기타스탭,김세형,국내배급 진행,롯데엔터테인먼트,39653,K17515
기타스탭,석승명,국내배급 진행,롯데엔터테인먼트,215973,K17515
기타스탭,임건,국내배급 진행,롯데엔터테인먼트,208564,K17515
기타스탭,김현철,부가판권 진행,롯데엔터테인먼트,211906,K17515
기타스탭,채종기,부가판권 진행,롯데엔터테인먼트,172884,K17515
기타스탭,김종화,부가판권 진행,롯데엔터테인먼트,213234,K17515
기타스탭,안종진,부가판권 진행,롯데엔터테인먼트,5765,K17515
